url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
98,0,2,1,0,-1,1,0,0,0,0
164,0,1,1,0,-1,1,0,0,0,0
21,0,3,0,1,-1,1,0,1,1,1
50,0,1,1,0,-1,1,0,0,0,0
78,0,2,0,0,-1,1,0,-1,-1,0
127,0,2,0,1,-1,0,0,0,0,0
53,0,3,0,1,-1,1,0,0,1,0
63,0,3,0,1,-1,1,0,0,1,0
39,0,2,1,1,-1,1,0,1,0,1
180,0,1,1,0,-1,1,0,0,0,0
45,0,1,0,0,-1,1,0,0,0,0
88,0,2,1,1,-1,1,0,0,0,1
27,0,2,0,1,-1,1,0,1,0,1
98,0,2,0,1,-1,1,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
39,0,2,1,1,-1,1,0,-1,-1,1
20,0,1,0,0,-1,1,0,0,0,0
36,0,2,1,1,-1,1,0,-1,-1,0
132,0,3,1,1,-1,1,0,0,0,1
86,0,2,1,1,-1,1,0,0,1,0
32,0,2,0,1,-1,1,0,-1,-1,1
36,0,3,0,1,-1,1,0,0,0,0
26,0,2,1,1,-1,1,0,1,0,1
76,0,4,0,3,-1,1,0,-1,-1,1
24,0,2,0,1,-1,1,0,0,0,1
41,0,1,0,0,-1,0,0,-1,-1,1
59,0,2,1,1,-1,1,0,0,0,0
35,0,2,0,1,-1,1,0,0,0,1
107,0,3,0,0,-1,0,0,-1,-1,1
30,0,2,1,1,-1,1,0,-1,-1,1
23,0,2,1,1,-1,1,0,1,0,1
34,0,4,0,1,-1,1,0,0,0,1
35,0,1,1,0,-1,1,0,0,0,0
35,0,2,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
35,0,3,1,1,-1,1,0,0,0,0
59,0,8,1,2,-1,0,1,-1,-1,1
35,0,1,1,0,-1,1,0,0,0,0
52,0,1,0,0,-1,1,0,0,0,1
62,0,2,1,1,-1,1,0,0,0,0
113,0,2,1,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
70,0,2,1,1,-1,1,0,0,0,0
83,0,2,1,1,-1,1,0,-1,-1,1
40,0,2,0,1,-1,0,1,-1,-1,1
51,0,3,0,1,-1,1,0,0,1,0
32,0,1,1,0,-1,1,0,0,0,0
53,0,3,1,2,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
